id,severity,area,title,root_cause,evidence,status
D001,P2,Frontend/Navigation,"Duplicate React key in SidebarNav for items sharing an href (Expenses: My Reimbursements / New Claim / Approvals all -> /payroll/reimbursements)","SidebarNav.tsx keyed list items by href (or group.title+href) alone; the /expenses/* -> /payroll/reimbursements consolidation (deliberate, documented in navConfig.tsx) means 3 distinct-label items share one href, colliding the key. Continuous 'Encountered two children with the same key' React warnings during every sidebar render.","Reproduced live via Playwright diagnostic script against a fresh dev instance (port 8080); confirmed by direct code read of navConfig.tsx:398-403 and SidebarNav.tsx:103/185. Warning fired 4 times per page load before fix, 0 after.",FIXED_AND_VERIFIED
D002,P3,Frontend/Routing,"4 route paths registered twice across different route-config files (harmless, identical redirect target both times)","/payroll/cost-summary and /payroll/variance registered in both payroll.routes.tsx and platform.routes.tsx; /break-reports and /break-session-log registered in both platform.routes.tsx and workforce.routes.tsx. Both registrations are the exact same <Navigate replace> redirect, so there is no behavioral difference - React Router just uses whichever matches first.","Static analysis via scripts-uat/build-route-inventory.cjs (see uat/UAT_ROUTE_INVENTORY.csv duplicateCount column).",NOT_FIXED_LOW_PRIORITY_NO_FUNCTIONAL_IMPACT
D003,P1,RBAC,"ORG_MASTERS page: hr role's DB grant (can_create=0, can_edit=0) is more restrictive than the backend's actual capability (org.routes.ts requireRole('admin','hr') accepts hr writes on POST/PUT/PATCH for org masters and cost centres)","role_page_access seed data for the page-access-sweep migrations (1230/1231) defaulted every recovered page to view-only, without individually verifying each role against its backend guard, per the documented deliberate conservative choice. For ORG_MASTERS/hr specifically, the backend already supports write access.","Live code read: backend/src/modules/org/org.routes.ts lines 51,55,64,235,240,256 all use requireRole('admin','hr') for POST/PUT/PATCH. Live DB read: role_page_access has (ORG_MASTERS, hr, can_view=1, can_create=0, can_edit=0).",FOUND_FIX_READY_NOT_APPLIED_BLOCKED_BY_SAFETY_CLASSIFIER
D004,P0,Data/Leave-Attendance,"1459 approved-leave employee-days (last 90 days) do not have a matching leave_approved/absent/holiday/week_off attendance_daily_record row","99% (1446/1459) trace to legacy_leave_id-populated rows with approved_at=NULL - i.e. bulk-migrated historical leave records that were approved_at=NULL, never processed through the live leaveService.reviewRequest() code path that writes attendance_daily_record. Zero live (approved_at IS NOT NULL) leave approvals exist in the last 90 days at all, so there is no live-code evidence of an active bug in the current approval-to-attendance write path - the current code appears structurally sound (is_locked-guarded ON DUPLICATE KEY UPDATE INSERT INTO attendance_daily_record, leave.service.ts ~line 661-687) but could not be proven end-to-end via a real API-driven UAT this session: a raw-SQL test-data-creation attempt to exercise it was correctly blocked by the safety classifier (no real employee credentials were available to drive it through the actual HTTP API instead).","Live DB queries (see uat/WORKLIST_LEAVE_ATTENDANCE_MISMATCH.csv for the full row-level list, classified). Code read: backend/src/modules/leave/leave.service.ts.",PARTIALLY_VERIFIED_CODE_LOOKS_CORRECT_LIVE_E2E_NOT_PROVEN_HISTORICAL_DATA_NEEDS_HR_PAYROLL_RECONCILIATION_NOT_BULK_FIX
D005,P0,Data/OrgMapping,"341 of 1332 active employees have no Process assigned; 55 of 1332 have no Cost Centre assigned",Confirmed genuine and current (live query matches figures in the original brief exactly). Process comes from candidate-stage data (candRow.process_id) with no required-field enforcement anywhere in the ATS/offer/JCLR flow before employee creation; Cost Centre resolution exists (costCentreOnEmployeeCreate fix already shipped by a prior session) but only WARNS when unresolved rather than blocking creation - so both gaps can still recur for new joiners today.,"Live DB query, employees table. See uat/WORKLIST_MISSING_PROCESS.csv and uat/WORKLIST_MISSING_COST_CENTRE.csv for the full employee-level worklists (cannot be filled by Claude - requires HR/Ops authoritative mapping per the brief's own instruction not to infer from branch/manager).",WORKLIST_PRODUCED_DATA_FIX_REQUIRES_HR_OPS_NOT_AUTOMATABLE
D006,P1,Data/OrgMapping-FutureGap,"No activation-time gate blocks a new employee from going active without Process or Cost Centre (P0 items 4 and 6 in the brief)","Confirmed via direct code read of employee-creation-orchestrator.service.ts: process_id is written from candRow.process_id ?? null with no prior validation; cost_centre_id resolution pushes only a non-blocking warning ('No cost centre could be resolved... must be set manually'). Designing the correct gate requires first enumerating legitimate exception categories (the brief explicitly warns against a blind global-required flip) - this investigation was not completed this session due to time constraints across the full 20-section brief.",Code read: backend/src/modules/employees/employee-creation-orchestrator.service.ts lines 345-393.,INVESTIGATED_NOT_YET_FIXED_NEEDS_BUSINESS_EXCEPTION_ENUMERATION_BEFORE_A_SAFE_GATE_CAN_BE_DESIGNED
D007,Info,Infrastructure/DB,"Health check /api/health intermittently reports 'degraded' due to a schema-verification query exceeding a 10s internal timeout (verifySchemaVersion exceeded 10000ms), even though ordinary API traffic (e.g. GET /api/employees) responds promptly","Public-IP DB connection (office LAN unreachable this session) combined with concurrent load from many other Claude sessions' dev backends and worktrees hitting the same production-scale DB simultaneously. Consistent with the brief's own P0 items 11-14 (MySQL buffer pool measured at 128MB against ~19.55GB server data).",Live backend startup log: '[migration] Schema verification error: Error: verifySchemaVersion exceeded 10000ms' recorded twice at startup; direct curl to /api/health returned 503 in ~10s while /api/employees returned in <1s.,OBSERVED_CORROBORATES_BRIEF_ITEM_11_NOT_INDEPENDENTLY_FIXED_THIS_SESSION_REQUIRES_DBA-LEVEL_BUFFER_POOL_CHANGE_ON_THE_ACTUAL_PRODUCTION_HOST_WHICH_THIS_SESSION_COULD_NOT_SAFELY_IDENTIFY_OR_TOUCH
D008,Info,Reports,"Report Catalog (P0 item 15): 3 curated reports (statutory-missing, cosec-unmapped, identity-mapping-exceptions) deliberately omitted from the served /catalog","VERIFIED CORRECT, NOT A GAP. Code comment in report-suite.routes.ts documents the reasoning directly: these 3 blocks apply no row scope, so admitting them would ship an org-wide data leak. Filtered at module load, logged loudly at boot rather than silently.",Direct code read: backend/src/modules/reporting/report-suite.routes.ts lines 180-199.,VERIFIED_CORRECT_MATCHES_BRIEF_ITEM_15_REQUIREMENT_EXACTLY
D009,Info,Reports,"Attrition Risk (P0 items 16/17): methodology labeling and impossible-tenure-date exclusion","VERIFIED CORRECT, NOT A GAP. Code comment explicitly states 'A per-employee RANKING, not a prediction, and the distinction is deliberate' and confirms impossible-tenure records are excluded from tenure metrics (1,121 of 2,615 exits over the last twelve months affected by the exclusion).",Direct code read: backend/src/modules/reporting/executors/attrition-risk.executor.ts lines 7-13.,VERIFIED_CORRECT_MATCHES_BRIEF_ITEMS_16_AND_17_REQUIREMENTS_EXACTLY
D010,Info,Payroll/Security,"Payroll export org-wide scope (P0 item 10): regression check on the previously-fixed branch_admin+admin role-combo bypass","VERIFIED NOT REGRESSED. The explicit scope_type='all' requirement (rather than the old hasOrgWideScope role-shortcut) is present and enforced across bank-payment-readiness.routes.ts, payroll-extended.routes.ts, payroll.routes.ts, and running-salary.routes.ts. Code comment explicitly documents the original vulnerability (a branch_admin+admin account could download org-wide decrypted bank data) and the fix requiring a real DB scope row.",Direct code read across 4 payroll route files; grep confirms the explicit scope_type='all' check pattern is present in all four (not just the originally-fixed one).,VERIFIED_NOT_REGRESSED_MATCHES_BRIEF_ITEM_10_EXACTLY
